x,Curve1
1372.27,2.52584
1421.13,1.00229
1587.63,2.02361
1648.78,2.07836
1710.42,1.87461
1756.68,1.7116
1824.44,2.31061
1855.85,1.90262
1948.93,1.27727
1985.26,2.29788
2008.6,2.10753
2015.53,2.48852
2031.28,2.25731
2045.58,2.788
2055.32,1.69962
2150.41,4.02667
2162.39,1.76823
2221.85,2.70733
2224.37,1.38762
2299.82,1.97306
2352.43,2.49035
2383.37,2.32726
2406.6,2.19133
2412.7,3.00769
2427.67,3.18464
2469.13,1.525
2498.46,2.20543
2514.74,1.70212
2543.02,2.92676
2543.85,2.4914
2559.9,2.11053
2568.67,1.52554
2574.32,2.57319
2581.12,3.02221
2583.34,1.86576
2591.38,1.66172
2649.88,3.10422
2705.64,1.97527
2712.54,2.36986
2725.79,3.44477
2758.06,2.5878
2781.45,2.37024
2796.19,2.66964
2826.14,3.02354
2843.25,2.08486
2843.67,1.86718
2850.6,2.24817
2857.63,2.57474
2859.71,1.48631
2909.95,3.24169
2919.85,2.07167
2935.42,1.9357
2942.61,2.18064
2972.82,2.39849
3001.13,3.60953
3004.23,1.9905
3011.55,2.16741
3020.27,1.60963
3049.62,2.27646
3050.54,1.80028
3064.52,2.49423
3087.28,2.6032
3103.61,2.07267
3132.83,2.80753
3142.29,1.8688
3142.57,1.71914
3149.32,2.19537
3156.4,2.49473
3178.23,3.09349
3181.33,1.47446
3194.56,2.56296
3201.72,2.82151
3233.52,2.20943
3249.74,1.73333
3256.26,2.33201
3270.61,2.83549
3278.68,2.61784
3279.51,2.18247
3287.87,1.81517
3309.57,2.48196
3324.05,2.91741
3355.22,2.63187
3362.57,2.79517
3377.1,3.20341
3394.91,1.89739
3408.14,2.98589
3439.42,2.64593
3440.52,2.07451
3441.19,1.72077
3471.35,1.96583
3500.34,2.82313
3501.54,2.19729
3505.99,3.87078
3563.08,2.04796
3569.25,2.82351
3584.75,2.72835
3624.46,1.98027
3639.15,2.30688
3651.34,3.9396
3655.59,1.72194
3670.09,2.14378
3675.82,3.15062
3684.62,2.55203
3699.39,2.83782
3700.23,2.40245
3739.19,2.04892
3754.16,2.22587
3760.07,3.13747
3762.5,1.87218
3776.85,2.37566
3830.24,2.48479
3832.14,1.4916
3844.14,3.21956
3844.56,3.00188
3860.6,2.62101
3877.14,1.98164
3892.19,2.11778
3893.18,1.60078
3906.78,2.49881
3929.51,2.62139
3946.16,1.9276
3953.37,2.15893
3954.2,1.72356
3967.2,2.93452
3967.46,2.79846
3997.7,3.00271
4007.54,1.8599
4020.02,3.34297
4021.79,2.41781
4034.84,3.60155
4036.19,2.89407
4045.15,2.21385
4088.98,3.31613
4089.71,2.93518
4090,2.78552
4090.31,2.62226
4090.75,2.39097
4136.93,2.26877
4137.14,2.15993
4152.92,1.91512
4159.07,2.70427
4173.96,2.92204
4175.63,2.0513
4190.19,2.44593
4212.79,2.63653
4221.94,1.86107
4243.13,2.78636
4252.17,2.06532
4290.09,2.256
4312.8,2.39218
4335.43,2.56917
4336.76,1.8753
4351.61,2.12028
4357.42,3.0863
4366.53,2.32444
4372.55,3.18162
4396.17,2.84161
4412.68,2.21585
4418.1,3.38595
4451.98,1.68545
4457.45,2.82834
4465.47,2.63791
4473.44,2.47469
4481.51,2.25704
4497.66,1.82176
4504.75,2.12111
4505.03,1.97146
4534.64,2.50223
4557.17,2.73364
4573.63,2.13509
4602.8,2.89716
4626.53,2.50273
4627.44,2.02654
4642.2,2.31234
4648.4,3.07428
4650.77,1.83619
4680.12,2.50302
4709.76,3.02019
4742.29,2.02717
4749.24,2.39455
4818.47,2.23167
4826.8,1.87797
4863.58,2.66728
4864.54,2.16389
4908.74,3.07569
4924.91,2.6268
4933.64,2.06903
4949.29,1.89224
4954.44,3.19839
4970.33,2.89916
5002.73,1.97416
5047.66,2.50502
5115.89,2.85913
5116.83,2.36934
5168.42,3.41724
5169.72,2.73698
5252.57,3.45852
5323.04,2.64257
5337.55,3.06442
5339.27,2.16647
5383.23,3.20073
5414.93,2.64307
5452.06,3.24192
5458.7,3.77256
5484.05,2.53461
5500.56,1.90885
5628.77,2.92995
5798.11,2.46829
